	
		Risultati incontri
		2a di Serie A
		1a Camp. (1a Andata) Serie A
		Team Fly						Real Sivori
	R	Nome	Voto	Mod	Tot		R	Nome	Voto	Mod	Tot
	P	MONTIPO` Lorenzo	6,5	-1	5,5	P	PERIN Mattia	6,5	-1	5,5
	D	CALABRIA Davide	6,5	0	6,5	D	CARLOS AUGUSTO Zopolato Neves	6	0	6
	D	DODO` Domilson Cordeiro	6	0	6	D	POSCH Stefan	6	-0,5	5,5
	D	EBUEHI Tyronne Efe	5	0	5	D	RRAHMANI Amir	6,5	0	6,5
	D	MARUSIC Adam	5	0	5	D	THIAW Malick Laye	6,5	-0,5	6
	C	KAMADA Daichi	5	0	5	C	CHIESA Federico	5,5	0	5,5
	C	MANDRAGORA Rolando	5,5	0	5,5	C	KASTANOS Grigoris	6	0	6
	C	ZIELINSKI Piotr Sebastian	6	0	6	CR	CRISTANTE Bryan	5,5	0	5,5
	A	OSIMHEN Victor James	7	2	9	CR	ZALEWSKI Nicola	5,5	0	5,5
	A	POLITANO Matteo	6,5	0	6,5	A	VLAHOVIC Dusan	7	3	10
	AR	ORSOLINI Riccardo	5,5	0	5,5	A	VLASIC Nikola	5	0	5
				Parziale squadra	65,5					Parziale squadra	67
				Totale squadra	67					Totale squadra	68
				Gol	1					Gol	1
	
		Sostituiti, panchina e tribuna				Sostituiti, panchina e tribuna		
